wallet_address,total_deposit,total_withdraw,total_borrow,total_repay,total_liquidate,score,risk_category,is_bot,bot_risk
0x8d093c8c70b5b5ba375d2d301c52d5b9d5ec79e3,0.013665305782975019,0.0,0.0,0.0,0.0,0.002733061156595004,High Risk,False,Human
0xc6d1cbd356faa71447a86c2faa68e6456907e816,0.0,9.874927733664152e-08,0.09268389224630216,0.10174499745275215,0.0,0.002718331561934996,High Risk,False,Human
0x4654f56a64301b9b582f843f97332d96ead11ff8,0.0032273947009338684,0.007079248558444524,0.012602637967428987,0.0193262127252542,0.0,0.002662551367534337,High Risk,False,Human
0x9dfac9bbe1119da5dcdd7b095db40920cde878ef,0.012274301189741179,0.015673740565058842,0.004453210275339673,0.005082730725727238,0.0,0.0026437163730645055,High Risk,False,Human
0x1b2b76f9f77b57ee2034c591cc143be803d6b0b8,0.012191148505632552,0.023244065352575196,0.03397329095014793,0.03460985968849892,0.0,0.0026292003226318084,High Risk,False,Human
0x3f3e7cd8be447aeb65c05eb6596b03e8c8627803,0.010809490053246926,0.0,0.0108010447546034,0.012352199332479323,0.0,0.0026272443840121623,High Risk,False,Human
0xa6308eab4fc51b4d1c1213ef0628ada3c04ff47f,0.013114883524456241,0.017183867928129568,0.0,0.0,0.0,0.0026229767048912486,High Risk,False,Human
0x69f9e262ab96a599190bff462327f2d23ce2399c,0.012634054532540717,0.016487560916196107,0.0,0.0,0.0,0.0025268109065081437,High Risk,False,Human
0xd20e0cac11783e2095647719da8bfbbc3a373f1b,0.01257291182975607,0.016539497834499414,0.0,0.0,0.0,0.0025145823659512142,High Risk,False,Human
0xc9c5a0228fb686e9720ca24691e59e9410c52688,0.012451023483145309,0.12385988737982419,0.0,0.0,0.0,0.002490204696629062,High Risk,False,Human
0x287e2c76aab4720786076c3deedd7dd386092050,0.012345188053930478,0.02945472137859748,0.0,0.0,0.0,0.0024690376107860956,High Risk,False,Human
0x9b4c75ce8d7006620df39e8757ade75d6434a6fe,0.010259999416181807,0.014717099563397515,0.012388129119127417,0.01375502555604246,0.0,0.002462068814310874,High Risk,False,Human
0xeb3056aa1c395e78cacf19b9747583949c14b574,0.012162263009720644,0.02991482403354976,7.4374293064667155e-06,0.0,0.0,0.002430221373152189,High Risk,False,Human
0xb28cf9fcfaa079ff21ceddbfc7b4b2fb9c7bd70f,0.008792627793472136,0.025964429680429873,0.005897370436013456,0.008045881218282267,0.0,0.002403078793375071,High Risk,False,Human
0x4c77ca7ff8e548806fdc88e4dfa8ea1e493a450a,0.005659206491993853,0.008083057079603889,0.0,0.004039657922677685,0.0,0.002343738675202076,High Risk,False,Human
0x84443f61efc60d10da9f9a2398980cd5748394bb,0.010282522373427314,0.013291072688583191,0.008740641997718079,0.009656324698246491,0.0,0.002331209284843987,High Risk,False,Human
0xe264d4f4169ec460c86019b94e390d3957135b6b,0.012211576647584602,0.017074209887729192,0.015977765421982044,0.015568238671295842,0.0,0.0023194573043110603,High Risk,False,Human
0xd4010758acc60163f169cbab9a23196e73fe2119,0.011560016017582471,0.01006312032400244,0.0,0.0,0.0,0.0023120032035164944,High Risk,False,Human
0x23cc917f53ed08c028a9b60067d4de1d7db77f5a,0.011356986696007995,0.014850084657990021,0.0,0.0,0.0,0.002271397339201599,High Risk,False,Human
0x784fd666bf195c9d5853d436b66f9d7f96ecf263,0.011026826750041305,0.02995023195056459,0.0,0.0,0.0,0.002205365350008261,High Risk,False,Human
0xc9b712dfb0fc1a328cbab69dbde92c687c358585,0.011017304698886744,0.014349168613506156,0.0,0.0,0.0,0.002203460939777349,High Risk,False,Human
0xe20ee1d250c8d3e0bd140306121001bfdc7a1201,0.009687098101364953,0.015431610343822759,0.008802117003958457,0.009667258769750825,0.0,0.0021969621500107016,High Risk,False,Human
0xcdb785569b4b5b7832af497e911ea893181bdb74,0.009211100996419532,0.009931680628511899,0.006466181196118877,0.007383782122051635,0.0,0.0021175004770637345,High Risk,False,Human
0xabeab690bd56d307f4bb3b59c2f209c353ee057d,0.0103210719647707,0.010225491429910898,0.0,0.0,0.0,0.00206421439295414,High Risk,False,Human
0xe0eeec7010ac9f74a947d70d43173d6765844768,0.009005052776613417,0.011709725582300257,0.0080295965296497,0.008824121769444172,0.0,0.0020393681272610252,High Risk,False,Human
0xc4fbcc6643ce3aafefa9ad6ab35be85ffacd306f,0.010090548970892104,0.0033079898799209676,0.0,0.0,0.0,0.002018109794178421,High Risk,False,Human
0x40941f5619974c639fe13fe977fd92805fc10ec3,0.009824157716296203,0.028764830826387373,0.0,0.0,0.0,0.0019648315432592408,High Risk,False,Human
0x87816ddfd2f9865ca3025e46022e17f4ebd2e0b1,0.009811100153590442,0.023064268705977383,0.0,0.0,0.0,0.0019622200307180884,High Risk,False,Human
0x44cb1e1e52f9ac8fc49023c10ab884d2d01a3287,0.009558714872799837,0.005762507665289974,0.0,0.0,0.0,0.0019117429745599676,High Risk,False,Human
0x314f5c4756636c0ed347765ae3c1b235ea975e3d,0.009508706401222143,0.012457176007156835,0.0,0.0,0.0,0.0019017412802444286,High Risk,False,Human
0x3f4b0089eec7d3e9cc51c9333db927b0f5416e30,0.009501547745669768,0.008652448628240626,0.0,0.0,0.0,0.0019003095491339538,High Risk,False,Human
0xb088a3bc93f71b4de97b9de773e9647645983688,0.00946216976891513,0.019557811861448497,0.0,0.0,0.0,0.0018924339537830263,High Risk,False,Human
0x029d68ff4b05fc4102d8caa77e28c585a32cdd16,0.018451909824878047,0.024220926659898914,0.006288018812624505,7.108184907706376e-05,0.0,0.001825300875911377,High Risk,False,Human
0x445c55b9a5338c45eea6f4cc9c1840883729a878,0.01279356229626459,0.013742526191423273,0.008710714658469485,0.0062584262701401,0.0,0.0018230259427541025,High Risk,False,Human
0xc1c0d22af2c6fedb124e770bd8947c4544e57d08,0.009071784539346286,0.01185490663029564,0.0,0.0,0.0,0.0018143569078692572,High Risk,False,Human
0x3e3742b6b7c0add19eb155c72eacbb6bfc8958dc,0.009030477375365015,0.015822876631370723,0.0,0.0,0.0,0.0018060954750730033,High Risk,False,Human
0x233f1d0c0abb1eca410b6e1e7d2560cfd32b07b2,0.008817613180440305,0.01397483975789702,0.0,0.0,0.0,0.0017635226360880611,High Risk,False,Human
0x2b354cfa9170febc4829d499af094c70c7920334,0.006915972784651578,0.007425448798508957,0.011136389455167376,0.012243229291366751,0.0,0.0017152465077901282,High Risk,False,Human
